UTC,Open,High,Low,Close,Volume
24.11.2020 00:00:00.000 UTC,1.18422,1.18436,1.18384,1.18393,3730.5099999999998
24.11.2020 00:15:00.000 UTC,1.18393,1.18415,1.18385,1.18408,2583.7999999999997
24.11.2020 00:30:00.000 UTC,1.18409,1.1843,1.18404,1.18414,2058.53
24.11.2020 00:45:00.000 UTC,1.18414,1.18414,1.18384,1.18387,3485.5
24.11.2020 01:00:00.000 UTC,1.18387,1.18473,1.18387,1.18443,5343.58
24.11.2020 01:15:00.000 UTC,1.18444,1.18449,1.18411,1.18422,4549.699999999999
24.11.2020 01:30:00.000 UTC,1.18423,1.18454,1.18407,1.18424,5422.030000000001
24.11.2020 01:45:00.000 UTC,1.18424,1.18431,1.18408,1.18417,4881.080000000002
24.11.2020 02:00:00.000 UTC,1.18418,1.18438,1.18414,1.18434,3695.9100000000008
24.11.2020 02:15:00.000 UTC,1.18434,1.18438,1.18419,1.18424,3713.8599999999997
24.11.2020 02:30:00.000 UTC,1.18423,1.18458,1.18419,1.18456,2542.22
24.11.2020 02:45:00.000 UTC,1.18455,1.18479,1.18453,1.18463,2973.46
24.11.2020 03:00:00.000 UTC,1.18462,1.18464,1.18431,1.18454,3725.3999999999996
24.11.2020 03:15:00.000 UTC,1.18454,1.18466,1.18446,1.18455,3655.04
24.11.2020 03:30:00.000 UTC,1.18456,1.18473,1.18443,1.18444,3129.7999999999993
24.11.2020 03:45:00.000 UTC,1.18444,1.18459,1.18417,1.18448,2421.62
24.11.2020 04:00:00.000 UTC,1.18449,1.18458,1.18436,1.18452,2416.19
24.11.2020 04:15:00.000 UTC,1.18452,1.18455,1.18438,1.18443,2513.0600000000004
24.11.2020 04:30:00.000 UTC,1.18444,1.18486,1.18441,1.18486,2333.48
24.11.2020 04:45:00.000 UTC,1.18486,1.18551,1.18483,1.1854,4049.0900000000006
24.11.2020 05:00:00.000 UTC,1.18539,1.18541,1.18495,1.18496,2884.7
24.11.2020 05:15:00.000 UTC,1.18497,1.18535,1.18495,1.18529,1461.7800000000002
24.11.2020 05:30:00.000 UTC,1.18528,1.18532,1.1849,1.18509,2239.79
24.11.2020 05:45:00.000 UTC,1.18509,1.18538,1.18508,1.18518,3848.85
24.11.2020 06:00:00.000 UTC,1.18519,1.1855,1.185,1.18531,3351.29
24.11.2020 06:15:00.000 UTC,1.18532,1.1857,1.18522,1.18558,3436.9
24.11.2020 06:30:00.000 UTC,1.18559,1.18565,1.18541,1.18551,3243.0699999999997
24.11.2020 06:45:00.000 UTC,1.18551,1.18554,1.18514,1.18521,3046.19
24.11.2020 07:00:00.000 UTC,1.18522,1.18547,1.185,1.1851,4124.66
24.11.2020 07:15:00.000 UTC,1.1851,1.18559,1.185,1.18546,3020.3700000000003
24.11.2020 07:30:00.000 UTC,1.18546,1.18555,1.18459,1.18519,2912.4299999999994
