UTC,Open,High,Low,Close,Volume
24.11.2024 22:00:00.000 UTC,1.25914,1.25914,1.25896,1.25897,12.6
24.11.2024 22:01:00.000 UTC,1.25896,1.2591,1.25896,1.25901,34.2
24.11.2024 22:02:00.000 UTC,1.25901,1.25912,1.25887,1.25895,31.95
24.11.2024 22:03:00.000 UTC,1.25897,1.25897,1.25889,1.25889,2.7
24.11.2024 22:04:00.000 UTC,1.25889,1.25896,1.25889,1.25893,3.6
24.11.2024 22:05:00.000 UTC,1.25894,1.25894,1.25877,1.25877,34.65
24.11.2024 22:06:00.000 UTC,1.25878,1.25882,1.25874,1.25882,14.4
24.11.2024 22:07:00.000 UTC,1.25882,1.25883,1.25876,1.25876,21.6
24.11.2024 22:08:00.000 UTC,1.25885,1.25886,1.25883,1.25886,12.6
24.11.2024 22:09:00.000 UTC,1.25885,1.25886,1.25834,1.25834,23.13
24.11.2024 22:10:00.000 UTC,1.25833,1.25834,1.25635,1.25746,58.99
24.11.2024 22:11:00.000 UTC,1.25797,1.25857,1.25797,1.25841,94.95
24.11.2024 22:12:00.000 UTC,1.2584,1.25857,1.25836,1.25857,56.7
24.11.2024 22:13:00.000 UTC,1.25853,1.2586,1.25838,1.25859,38.25
24.11.2024 22:14:00.000 UTC,1.2586,1.25868,1.25858,1.25865,23.4
24.11.2024 22:15:00.000 UTC,1.25865,1.25867,1.25829,1.25839,64.35
24.11.2024 22:16:00.000 UTC,1.25835,1.25837,1.25829,1.25834,36.45
24.11.2024 22:17:00.000 UTC,1.25835,1.25835,1.25747,1.25766,38.16
24.11.2024 22:18:00.000 UTC,1.25765,1.25808,1.25753,1.25788,74.7
24.11.2024 22:19:00.000 UTC,1.25787,1.25795,1.25779,1.25787,93.6
24.11.2024 22:20:00.000 UTC,1.25788,1.25792,1.25785,1.25787,40.95
24.11.2024 22:21:00.000 UTC,1.25786,1.25807,1.25786,1.25807,19.8
24.11.2024 22:22:00.000 UTC,1.25806,1.25807,1.25792,1.25797,16.2
24.11.2024 22:23:00.000 UTC,1.25797,1.25797,1.25789,1.25795,19.8
24.11.2024 22:24:00.000 UTC,1.25798,1.25798,1.25797,1.25797,5.4
24.11.2024 22:25:00.000 UTC,1.25797,1.25798,1.25797,1.25798,4.5
24.11.2024 22:26:00.000 UTC,1.25792,1.25796,1.25792,1.25792,63.9
24.11.2024 22:27:00.000 UTC,1.25793,1.25793,1.25789,1.25792,22.5
24.11.2024 22:28:00.000 UTC,1.25793,1.25798,1.25792,1.25798,11.7
24.11.2024 22:29:00.000 UTC,1.25798,1.25798,1.25788,1.25788,25.2
24.11.2024 22:30:00.000 UTC,1.25787,1.25789,1.25785,1.25788,20.7
24.11.2024 22:31:00.000 UTC,1.25789,1.25791,1.25782,1.25785,68.4
24.11.2024 22:32:00.000 UTC,1.25785,1.25793,1.25785,1.25788,11.25
24.11.2024 22:33:00.000 UTC,1.25793,1.25796,1.25791,1.25791,3.15
24.11.2024 22:34:00.000 UTC,1.25795,1.25795,1.25789,1.2579,4.05
24.11.2024 22:35:00.000 UTC,1.25792,1.25805,1.25792,1.25799,227.25
24.11.2024 22:36:00.000 UTC,1.25802,1.25814,1.25796,1.2581,89.1
24.11.2024 22:37:00.000 UTC,1.25806,1.25813,1.25805,1.25806,42.3
24.11.2024 22:38:00.000 UTC,1.25809,1.25823,1.25805,1.25822,123.3
24.11.2024 22:39:00.000 UTC,1.25824,1.25827,1.25811,1.25812,82.8
24.11.2024 22:40:00.000 UTC,1.25813,1.25844,1.25812,1.25843,57.15
24.11.2024 22:41:00.000 UTC,1.25844,1.25856,1.25838,1.25849,169.2
24.11.2024 22:42:00.000 UTC,1.25847,1.25847,1.25789,1.25806,228.24
24.11.2024 22:43:00.000 UTC,1.25802,1.25841,1.25795,1.25839,357.75
24.11.2024 22:44:00.000 UTC,1.25839,1.25846,1.25837,1.2584,265.05
24.11.2024 22:45:00.000 UTC,1.25844,1.25845,1.25838,1.25841,313.65
24.11.2024 22:46:00.000 UTC,1.25841,1.25845,1.25838,1.25838,390.6
24.11.2024 22:47:00.000 UTC,1.25838,1.25849,1.25838,1.25848,285.39
24.11.2024 22:48:00.000 UTC,1.25849,1.25849,1.25848,1.25848,2.09
