UTC,Open,High,Low,Close,Volume
24.11.2022 00:57:00.000 UTC,1.04138,1.04166,1.04138,1.04156,677.37
24.11.2022 00:58:00.000 UTC,1.04156,1.04164,1.04153,1.04159,180.02
24.11.2022 00:59:00.000 UTC,1.04159,1.04163,1.04149,1.04151,180.06
24.11.2022 01:00:00.000 UTC,1.0415,1.04159,1.04141,1.04149,376.76
24.11.2022 01:01:00.000 UTC,1.04152,1.04173,1.04152,1.04169,481.53
24.11.2022 01:02:00.000 UTC,1.04171,1.04219,1.0417,1.04218,1065.73
24.11.2022 01:03:00.000 UTC,1.0422,1.04221,1.04187,1.04211,698.08
24.11.2022 01:04:00.000 UTC,1.04211,1.04214,1.04199,1.04204,708.87
24.11.2022 01:05:00.000 UTC,1.04203,1.04205,1.04181,1.0419,542.35
24.11.2022 01:06:00.000 UTC,1.04188,1.04204,1.04184,1.04197,897.86
24.11.2022 01:07:00.000 UTC,1.04196,1.04216,1.0419,1.04199,657.65
24.11.2022 01:08:00.000 UTC,1.04197,1.04209,1.04195,1.04207,530.61
24.11.2022 01:09:00.000 UTC,1.04208,1.04208,1.04193,1.04196,471.2
24.11.2022 01:10:00.000 UTC,1.04198,1.04198,1.04171,1.04171,311.89
24.11.2022 01:11:00.000 UTC,1.04171,1.04171,1.04156,1.04159,256.71
24.11.2022 01:12:00.000 UTC,1.04159,1.04169,1.04149,1.04156,259.81
24.11.2022 01:13:00.000 UTC,1.04157,1.04161,1.04151,1.04157,302.9
24.11.2022 01:14:00.000 UTC,1.04156,1.04162,1.04151,1.04162,262.84
24.11.2022 01:15:00.000 UTC,1.04163,1.04183,1.04163,1.04183,470.41
24.11.2022 01:16:00.000 UTC,1.0418,1.04195,1.0417,1.04195,544.74
24.11.2022 01:17:00.000 UTC,1.04194,1.04199,1.0419,1.04192,364.4
24.11.2022 01:18:00.000 UTC,1.04193,1.04197,1.04188,1.04191,342.7
24.11.2022 01:19:00.000 UTC,1.0419,1.04202,1.0419,1.04194,322.49
24.11.2022 01:20:00.000 UTC,1.04194,1.04217,1.04193,1.04214,430.17
