UTC,Open,High,Low,Close,Volume
24.11.2021 00:00:00.000 UTC,1.33746,1.33796,1.33742,1.33766,382.34000000000003
24.11.2021 00:15:00.000 UTC,1.33768,1.33787,1.33751,1.33753,306.8
24.11.2021 00:30:00.000 UTC,1.33752,1.3379,1.33748,1.33782,387.95
24.11.2021 00:45:00.000 UTC,1.33784,1.33794,1.33735,1.33737,490.29999999999995
24.11.2021 01:00:00.000 UTC,1.33738,1.33793,1.33669,1.33774,1075.4399999999998
24.11.2021 01:15:00.000 UTC,1.33775,1.33805,1.33715,1.33727,855.8100000000001
24.11.2021 01:30:00.000 UTC,1.33726,1.33793,1.33726,1.33768,556.26
24.11.2021 01:45:00.000 UTC,1.33768,1.33819,1.33767,1.33804,349.38000000000005
24.11.2021 02:00:00.000 UTC,1.33805,1.33825,1.33782,1.33786,328.54
24.11.2021 02:15:00.000 UTC,1.33786,1.33804,1.33759,1.33794,225.57999999999998
24.11.2021 02:30:00.000 UTC,1.33794,1.33829,1.33766,1.33789,490.0400000000001
24.11.2021 02:45:00.000 UTC,1.33791,1.33794,1.33744,1.33746,436.69999999999993
24.11.2021 03:00:00.000 UTC,1.33746,1.33777,1.33732,1.33737,391.81000000000006
24.11.2021 03:15:00.000 UTC,1.33741,1.33759,1.33728,1.33733,341.83
24.11.2021 03:30:00.000 UTC,1.33729,1.33739,1.33716,1.33726,202.99
24.11.2021 03:45:00.000 UTC,1.33726,1.33734,1.33688,1.33696,239.32
24.11.2021 04:00:00.000 UTC,1.33695,1.33739,1.33693,1.33734,342.23
24.11.2021 04:15:00.000 UTC,1.33733,1.33735,1.33717,1.33724,227.42000000000002
24.11.2021 04:30:00.000 UTC,1.33723,1.33734,1.33704,1.33726,220.01
24.11.2021 04:45:00.000 UTC,1.33722,1.33746,1.3371,1.33744,223.85000000000002
24.11.2021 05:00:00.000 UTC,1.33745,1.33757,1.33734,1.33744,270.17
24.11.2021 05:15:00.000 UTC,1.33745,1.33779,1.33725,1.33739,354.91
24.11.2021 05:30:00.000 UTC,1.33736,1.33789,1.33736,1.33787,348.7
24.11.2021 05:45:00.000 UTC,1.33787,1.33797,1.33766,1.33797,454.69000000000005
24.11.2021 06:00:00.000 UTC,1.33796,1.33856,1.33796,1.3382,510.48999999999995
24.11.2021 06:15:00.000 UTC,1.3382,1.33844,1.33774,1.33795,727.82
24.11.2021 06:30:00.000 UTC,1.33792,1.33811,1.33752,1.33806,656.41
24.11.2021 06:45:00.000 UTC,1.33805,1.33863,1.33782,1.3384,479.50999999999993
24.11.2021 07:00:00.000 UTC,1.33843,1.33896,1.33806,1.33825,1147.14
24.11.2021 07:15:00.000 UTC,1.33825,1.33884,1.33815,1.33856,802.5799999999999
24.11.2021 07:30:00.000 UTC,1.33856,1.33874,1.33724,1.33734,809.45
24.11.2021 07:45:00.000 UTC,1.33736,1.33789,1.33689,1.33709,1103.25
24.11.2021 08:00:00.000 UTC,1.33713,1.33777,1.33667,1.33753,1793.67
24.11.2021 08:15:00.000 UTC,1.3375,1.33781,1.33666,1.33741,1661.3399999999997
24.11.2021 08:30:00.000 UTC,1.33743,1.33833,1.33741,1.33788,1414.6799999999998
24.11.2021 08:45:00.000 UTC,1.33787,1.33837,1.33614,1.33637,1515.7900000000002
24.11.2021 09:00:00.000 UTC,1.33633,1.33707,1.33596,1.33701,1636.7099999999998
24.11.2021 09:15:00.000 UTC,1.33701,1.33786,1.33686,1.3377,1452.2099999999998
24.11.2021 09:30:00.000 UTC,1.33771,1.33789,1.33633,1.33646,1300.83
